f,psd
0.0,8.513613884590739e-44
2e-05,4.3941200444350224e-44
4e-05,2.4617549044250047e-45
6.000000000000001e-05,2.4596910087316397e-45
8e-05,2.2672003272332914e-45
0.0001,2.170018109588141e-45
0.00012000000000000002,1.9932938837926435e-45
0.00014000000000000001,2.174053850431095e-45
0.00016,2.653258596952949e-45
0.00018,2.6127920910006032e-45
0.0002,1.6814888452282114e-45
0.00022,1.738819263550205e-45
0.00024000000000000003,2.6866956975485163e-45
0.00026000000000000003,2.718988624738718e-45
0.00028000000000000003,3.436184889466965e-45
0.00030000000000000003,3.015804090777353e-45
0.00032,3.0446575879079476e-45
0.00034,3.269188332062392e-45
0.00036,3.3269240376635125e-45
0.00038,3.7045655401245933e-45
0.0004,5.1348276247445117e-45
0.00042,4.9644207032151815e-45
0.00044,4.476781100154274e-45
0.00046,4.918750893892057e-45
0.00048000000000000007,4.9705610661516e-45
0.0005,5.002707972232101e-45
0.0005200000000000001,3.9714281172114846e-45
0.00054,5.237158264230647e-45
0.0005600000000000001,6.506577052888873e-45
0.00058,6.646638219517775e-45
0.0006000000000000001,7.077699640847418e-45
0.00062,7.595784423527818e-45
0.00064,7.182728244727686e-45
0.0006600000000000001,1.0299583372262037e-44
0.00068,7.660598267356938e-45
0.0007000000000000001,7.452804746557756e-45
0.00072,7.973978745034616e-45
0.0007400000000000001,7.648817653970067e-45
0.00076,7.879497888094203e-45
0.0007800000000000001,6.939226901665846e-45
0.0008,9.45354764946929e-45
0.0008200000000000001,1.0316967903088578e-44
0.00084,1.0714126897788827e-44
0.0008600000000000001,1.3986570645296888e-44
0.00088,1.5198437164455894e-44
0.0009000000000000001,1.373562279707012e-44
0.00092,1.6594309547639744e-44
0.0009400000000000001,1.6229270426686664e-44
0.0009600000000000001,1.1685641947501916e-44
0.0009800000000000002,1.1269828260948483e-44
0.001,1.5019073945180568e-44
0.00102,1.4989006918147112e-44
0.0010400000000000001,1.5664675452669493e-44
0.0010600000000000002,1.7579099099485583e-44
0.00108,1.9933804425706e-44
0.0011,1.511924598383773e-44
0.0011200000000000001,1.7620689545040227e-44
0.0011400000000000002,1.9232735890090576e-44
0.00116,2.143274994011519e-44
0.00118,2.385616335019603e-44
0.0012000000000000001,2.543635021734109e-44
0.0012200000000000002,3.157252864627766e-44
0.00124,2.8053968767247387e-44
0.00126,2.7004801369608743e-44
0.00128,2.697182883893035e-44
0.0013000000000000002,2.1371575346048638e-44
0.0013200000000000002,2.512022864235031e-44
0.00134,2.86637716180178e-44
0.00136,2.86854340130636e-44
0.0013800000000000002,2.404907608838399e-44
0.0014000000000000002,3.14630382880822e-44
0.00142,3.9326350940595134e-44
0.00144,3.879666948451797e-44
0.0014600000000000001,3.5218640102314737e-44
0.0014800000000000002,4.309203974932117e-44
0.0015,4.362897065414603e-44
0.00152,3.4522182769640766e-44
0.0015400000000000001,3.8781406448549326e-44
0.0015600000000000002,4.129802441381511e-44
0.00158,4.1053262044537844e-44
0.0016,4.1797657363479667e-44
0.0016200000000000001,4.3487019304256117e-44
0.0016400000000000002,4.485545194699937e-44
0.0016600000000000002,5.449924103246122e-44
0.00168,5.858374659766995e-44
0.0017000000000000001,4.959390412426868e-44
0.0017200000000000002,4.583338929614525e-44
0.0017400000000000002,4.682700470534469e-44
